name,constellation,RA_hour,RA_min,RA_sec,dec_deg,dec_min,dec_sec,magnitude,LY_distance
Pi3 Ori,Orion,04,49,50.14,+06,57,40.5,3.19,26
Chi1 Ori,Orion,05,54,23.08,+20,16,35.1,4.39,28
Phi2 Ori,Orion,05,36,54.33,+09,17,29.1,4.09,116
Mu Ori,Orion,06,02,22.99,+09,38,50.5,4.12,152
Omicron2 Ori,Orion,04,56,22.32,+13,30,52.5,4.06,169
29 Ori,Orion,05,23,56.84,+07,48,28.6,4.13,174
Pi2 Ori,Orion,04,50,36.72,+08,54,00.9,4.35,194
Bellatrix,Orion,05,25,07.87,+06,20,59.0,1.64,243
32 Ori,Orion,05,30,47.05,+05,56,53.6,4.20,288
Rho Ori,Orion,05,13,17.48,+02,51,40.5,4.46,344
HD 40657,Orion,06,00,03.35,+03,04,26.7,4.53,420
Nu Ori,Orion,06,07,34.32,+14,46,06.7,4.42,534
Tau Ori,Orion,05,17,36.40,+06,50,39.8,3.59,554
Xi Ori,Orion,06,11,56.40,+14,12,31.7,4.45,634
Betelgeuse,Orion,05,55,10.29,+07,24,25.3,0.42,643
Saiph,Orion,05,47,45.39,+09,40,10.6,2.07,721
Rigel,Orion,05,14,32.27,+08,12,05.9,0.18,773
Alnitak A,Orion,05,40,45.52,+01,56,33.3,1.88,817
Alnitak B,Orion,05,40,45.60,+01,56,34.0,3.70,817
Eta Ori,Orion,05,24,28.62,+02,23,49.7,3.35,901
Mintaka AB,Orion,05,32,00.40,+00,17,56.7,2.20,916
Pi6 Ori,Orion,04,58,32.90,+01,42,50.5,4.47,953
Phi1 Ori,Orion,05,34,49.24,+09,29,22.5,4.39,985
Meissa A,Orion,05,35,08.28,+09,56,03.0,3.47,1055
Sigma Ori AB,Orion,05,38,44.77,+02,36,00.2,3.77,1148
Pi4 Ori,Orion,04,51,12.37,+05,36,18.4,3.68,1259
Iota Ori,Orion,05,35,25.98,+05,54,35.6,2.75,1325
Alnilam,Orion,05,36,12.81,+01,12,06.9,1.69,1342
Pi5 Ori,Orion,04,54,15.10,+02,26,26.4,3.71,1342
Omega Ori,Orion,05,39,11.15,+04,07,17.3,4.50,1622
74 Ori,Orion,06,16,26.57,+12,16,18.2,5.04,64
71 Ori,Orion,06,14,50.94,+19,09,24.8,5.20,69
Pi1 Ori,Orion,04,54,53.70,+10,09,04.1,4.64,121
49 Ori,Orion,05,38,53.09,+07,12,45.8,4.77,153
27 Ori,Orion,05,24,28.91,+00,53,30.0,5.07,172
6 Ori,Orion,04,54,46.91,+11,25,33.5,5.18,241
51 Ori,Orion,05,42,28.66,+01,28,28.8,4.90,302
15 Ori,Orion,05,09,41.96,+15,35,50.2,4.81,318
HD 33554,Orion,05,11,41.56,+16,02,44.4,5.18,321
60 Ori,Orion,05,58,49.58,+00,33,10.7,5.21,367
45 Ori,Orion,05,35,39.49,+04,51,21.9,5.24,370
11 Ori,Orion,05,04,34.14,+15,24,15.1,4.65,400
31 Ori,Orion,05,29,43.98,+01,05,31.8,4.71,456
52 Ori,Orion,05,48,00.23,+06,27,15.2,5.26,479
HD 44131,Orion,06,19,59.60,+02,56,40.2,4.91,506
Omicron1 Ori,Orion,04,52,31.96,+14,15,02.8,4.71,542
69 Ori,Orion,06,12,03.28,+16,07,49.6,4.95,774
42 Ori,Orion,05,35,23.16,+04,50,18.0,4.58,786
23 Ori,Orion,05,22,50.00,+03,32,40.0,5.00,962
64 Ori,Orion,06,03,27.36,+19,41,26.2,5.14,1069
Psi1 Ori,Orion,05,24,44.83,+01,50,47.2,4.89,1109
56 Ori,Orion,05,52,26.44,+01,51,18.6,4.76,1113
22 Ori,Orion,05,21,45.75,+00,22,56.9,4.72,1289
Psi2 Ori,Orion,05,26,50.23,+03,05,44.4,4.59,1417
Upsilon Ori,Orion,05,31,55.86,+07,18,05.5,4.62,1545
Theta1 Ori C,Orion,05,35,16.47,+05,23,22.9,5.13,1600
Chi2 Ori,Orion,06,03,55.18,+20,08,18.5,4.64,1801
HD 36960,Orion,05,35,02.68,+06,00,07.3,4.78,1863
Theta2 Ori A,Orion,05,35,22.90,+05,24,57.8,4.98,1895
HD 37756,Orion,05,40,50.72,+01,07,43.6,4.95,2090
HD 43318,Orion,06,15,34.36,+00,30,42.0,5.62,116
HD 30034,Orion,04,44,25.77,+11,08,46.2,5.39,157
16 Ori,Orion,05,09,19.60,+09,49,46.6,5.43,176
14 Ori,Orion,05,07,52.87,+08,29,54.9,5.33,194
21 Ori,Orion,05,19,11.23,+02,35,45.4,5.34,198
75 Ori,Orion,06,17,06.62,+09,56,33.1,5.39,254
HD 30210,Orion,04,46,01.70,+11,42,20.2,5.35,266
38 Ori,Orion,05,34,16.79,+03,46,01.0,5.32,345
18 Ori,Orion,05,16,04.14,+11,20,28.9,5.52,368
HD 31296,Orion,04,54,47.79,+07,46,45.0,5.33,441
72 Ori,Orion,06,15,25.13,+16,08,35.5,5.34,479
35 Ori,Orion,05,33,54.29,+14,18,20.1,5.60,513
HD 44033,Orion,06,20,04.23,+14,39,04.2,5.67,548
HD 34043,Orion,05,14,44.05,+05,09,22.1,5.50,598
HD 35536,Orion,05,25,01.74,+10,19,43.8,5.60,635
5 Ori,Orion,04,53,22.76,+02,30,29.8,5.33,638
HD 35299,Orion,05,23,42.31,+00,09,35.3,5.69,809
HD 40369,Orion,05,58,53.24,+12,48,29.7,5.70,838
Meissa B,Orion,05,35,08.50,+09,56,06.0,5.61,1055
HD 35007,Orion,05,21,31.84,+00,24,59.4,5.68,1076
63 Ori,Orion,06,04,58.19,+05,25,11.9,5.67,1101
73 Ori,Orion,06,15,44.97,+12,33,03.9,5.44,1399
U Ori,Orion,05,55,49.30,+20,10,30.0,5.40,1420
HD 36881,Orion,05,35,13.24,+10,14,24.4,5.60,1462
33 Ori,Orion,05,31,14.53,+03,17,31.7,5.46,1567
55 Ori,Orion,05,51,21.98,+07,31,04.8,5.36,1680
VV Ori,Orion,05,33,31.45,+01,09,21.9,5.36,1852
66 Ori,Orion,06,04,58.36,+04,09,31.2,5.63,2489
HD 36591,Orion,05,32,41.35,+01,35,30.6,5.34,2567
HD 36959,Orion,05,35,01.01,+06,00,33.4,5.67,2694
HD 43587,Orion,06,17,16.25,+05,05,58.9,5.70,63
HD 33608,Orion,05,11,19.13,+02,29,26.8,5.89,125
HD 38529,Orion,05,46,34.96,+01,10,06.7,5.94,138
HD 37788,Orion,05,41,05.59,+00,20,15.7,5.93,168
HD 38527,Orion,05,46,52.15,+09,31,21.0,5.78,300
HD 39910,Orion,05,55,30.16,+04,36,59.4,5.87,304
HD 40020,Orion,05,56,49.39,+11,31,16.3,5.89,307
HD 43023,Orion,06,13,54.24,+03,44,29.1,5.83,315
HD 39007,Orion,05,50,02.68,+09,52,16.4,5.79,334
HD 36162,Orion,05,30,26.17,+15,21,38.0,5.93,344
59 Ori,Orion,05,58,24.44,+01,50,13.7,5.89,353
HD 39421,Orion,05,52,07.73,+09,02,31.1,5.95,379
HD 31373,Orion,04,55,50.16,+15,02,25.1,5.79,423
HD 33833,Orion,05,12,48.12,+06,03,25.6,5.90,446
HD 42954,Orion,06,14,28.58,+17,54,23.0,5.86,452
HD 36134,Orion,05,29,23.70,+03,26,46.9,5.80,467
HD 32263,Orion,05,01,50.35,+00,43,19.8,5.91,498
HD 39051,Orion,05,50,13.06,+04,25,24.6,5.96,507
HD 37320,Orion,05,38,01.11,+07,32,29.2,5.87,556
HD 42111,Orion,06,08,57.90,+02,29,59.0,5.70,609
HD 34989,Orion,05,21,43.56,+08,25,42.8,5.78,736
HD 36780,Orion,05,34,04.06,+01,28,12.7,5.92,842
HD 33646,Orion,05,11,45.35,+01,02,13.4,5.88,916
68 Ori,Orion,06,12,01.34,+19,47,26.1,5.76,970
HD 36166,Orion,05,29,54.77,+01,47,21.3,5.77,1254
HD 39286,Orion,05,52,23.41,+19,52,04.3,5.96,1370
HD 43112,Orion,06,15,08.46,+13,51,03.9,5.91,1370
57 Ori,Orion,05,54,56.69,+19,44,58.6,5.92,1405
HD 37481,Orion,05,38,37.97,+06,34,26.2,5.96,1567
HD 37209,Orion,05,36,35.69,+06,03,53.1,5.71,1918
HD 38858,Orion,05,48,34.90,+04,05,38.7,5.97,51
13 Ori,Orion,05,07,38.32,+09,28,21.8,6.15,92
HD 37594,Orion,05,39,31.15,+03,33,53.0,5.99,135
HD 34180,Orion,05,15,18.52,+01,24,32.6,6.15,150
HD 38089,Orion,05,42,53.91,+06,47,46.7,5.97,163
HD 38309,Orion,05,45,01.80,+04,00,29.5,6.09,165
HD 35317,Orion,05,23,51.33,+00,51,59.8,6.13,189
HD 44497,Orion,06,22,36.42,+12,34,13.1,6.00,205
HD 33419,Orion,05,10,03.26,+00,33,54.7,6.11,314
HD 42477,Orion,06,11,27.91,+13,38,19.0,6.04,430
HD 41076,Orion,06,03,24.77,+11,40,51.9,6.09,480
HD 35281,Orion,05,23,18.51,+08,24,56.1,5.99,493
HD 43683,Orion,06,18,05.61,+14,22,58.3,6.12,637
V1031 Ori,Orion,05,47,26.90,+10,31,58.5,6.04,653
HD 31764,Orion,04,58,59.41,+14,32,35.7,6.14,671
HD 39885,Orion,05,56,28.04,+09,30,33.9,5.97,697
W Ori,Orion,05,05,23.71,+01,10,39.5,6.10,700
HD 30870,Orion,04,51,43.38,+09,58,30.3,6.11,704
HD 30545,Orion,04,48,44.63,+03,35,18.8,6.04,707
HD 43285,Orion,06,15,40.18,+06,03,58.3,6.07,743
HD 37171,Orion,05,37,04.35,+11,02,06.2,5.97,821
HD 39775,Orion,05,54,44.04,+00,58,07.0,5.99,827
HD 37232,Orion,05,37,19.31,+08,57,06.8,6.11,867
HD 33883,Orion,05,13,31.55,+01,58,03.7,6.08,879
HD 31331,Orion,04,54,50.71,+00,28,01.8,5.98,964
HD 39118,Orion,05,50,30.03,+02,01,29.0,5.97,1128
HD 37303,Orion,05,37,27.36,+05,56,18.2,6.03,1358
HD 39632,Orion,05,54,13.35,+10,35,11.1,6.13,1475
HD 36558,Orion,05,32,37.97,+00,00,43.1,6.15,1495
HD 32686,Orion,05,04,54.53,+03,02,22.8,6.04,3075
HD 30869,Orion,04,51,49.92,+13,39,18.7,6.30,136
HD 33555,Orion,05,10,57.97,+02,15,13.5,6.24,158
HD 32115,Orion,05,00,39.82,+02,03,57.7,6.31,162
V1649 Ori,Orion,05,23,31.08,+05,19,23.0,6.34,245
HD 31623,Orion,04,57,17.21,+01,04,01.9,6.25,274
HD 30321,Orion,04,46,24.15,+02,57,15.8,6.33,277
HD 39927,Orion,05,55,35.38,+04,47,18.7,6.28,321
HD 43821,Orion,06,18,40.35,+09,02,50.2,6.24,346
HD 38495,Orion,05,46,02.86,+04,16,05.9,6.24,371
HD 40347,Orion,05,58,11.70,+00,59,38.3,6.21,400
HD 31739,Orion,04,58,10.90,+02,12,46.0,6.34,454
HD 35693,Orion,05,27,13.90,+15,15,27.6,6.18,461
HD 40282,Orion,05,57,54.51,+01,13,27.5,6.22,519
HD 39685,Orion,05,54,15.72,+03,13,32.8,6.30,552
CK Ori,Orion,05,30,19.91,+04,12,17.5,6.21,574
HD 43819,Orion,06,19,01.85,+17,19,31.0,6.32,631
HD 35640,Orion,05,26,02.36,+05,31,06.6,6.24,667
V1197 Ori,Orion,05,43,09.32,+01,36,47.4,6.31,679
HD 33946,Orion,05,13,47.25,+00,33,37.7,6.33,832
HD 37356,Orion,05,37,53.39,+04,48,50.5,6.16,1120
HD 37016,Orion,05,35,22.32,+04,25,27.6,6.24,1128
HD 36285,Orion,05,30,20.75,+07,26,05.3,6.33,1216
HD 35407,Orion,05,24,36.10,+02,21,11.4,6.33,1226
HD 36840,Orion,05,34,29.29,+00,00,44.4,6.25,1230
HD 36779,Orion,05,34,03.89,+01,02,08.6,6.24,1240
BL Ori,Orion,06,25,28.18,+14,43,19.2,6.30,1299
HD 35588,Orion,05,25,47.02,+00,31,12.9,6.18,1583
HD 37744,Orion,05,40,37.29,+02,49,30.9,6.22,1680
HD 36430,Orion,05,31,20.89,+06,42,30.2,6.23,1762
HD 34648,Orion,05,19,35.28,+01,24,42.8,6.33,1863
V1357 Ori,Orion,06,13,12.46,+10,37,40.3,6.44,59
HD 31423,Orion,04,56,09.02,+07,54,17.3,6.42,192
HD 37904,Orion,05,41,40.31,+02,53,47.5,6.41,273
HD 43358,Orion,06,15,53.98,+01,10,08.4,6.37,303
HD 35656,Orion,05,26,38.82,+06,52,07.5,6.41,305
HD 35909,Orion,05,28,34.77,+13,40,44.5,6.35,322
HD 44867,Orion,06,24,52.76,+16,03,26.0,6.35,385
HD 36150,Orion,05,29,41.59,+00,48,08.7,6.49,391
HD 34878,Orion,05,20,43.74,+02,32,41.0,6.43,415
HD 35775,Orion,05,27,15.40,+02,20,28.3,6.36,425
HD 31411,Orion,04,55,58.36,+05,23,56.6,6.50,489
HD 32273,Orion,05,02,00.03,+01,36,31.8,6.45,508
HD 37808,Orion,05,40,46.19,+10,24,31.2,6.46,536
HD 37635,Orion,05,39,30.84,+09,42,23.8,6.49,566
HD 34317,Orion,05,16,41.05,+01,56,50.4,6.42,608
HD 36814,Orion,05,34,02.48,+07,01,25.1,6.45,637
HD 34880,Orion,05,20,26.41,+05,22,03.1,6.40,679
V1389 Ori,Orion,06,12,59.57,+06,00,58.6,6.45,709
HD 43335,Orion,06,16,23.79,+17,10,53.9,6.39,728
HD 36058,Orion,05,28,56.91,+03,18,26.7,6.39,762
HD 35575,Orion,05,25,36.50,+01,29,28.7,6.44,791
Sigma Ori E,Orion,05,38,47.19,+02,35,40.5,6.61,1148
HD 35912,Orion,05,28,01.47,+01,17,53.7,6.41,1160
HD 37017,Orion,05,35,21.87,+04,29,39.02,6.56,1240
V1369 Ori,Orion,05,21,19.31,+04,00,43.1,6.49,1244
HD 37150,Orion,05,36,15.03,+05,38,52.5,6.51,1270
Theta2 Ori B,Orion,05,35,26.40,+05,25,00.7,6.38,1895
V1377 Ori,Orion,05,35,35.90,+03,15,10.2,6.40,2608
HD 42351,Orion,06,11,01.77,+18,07,49.7,6.37,2650
HD 36629,Orion,05,32,57.08,+04,34,59.3,7.65,0
HD 37058,Orion,05,35,33.36,+04,50,15.2,7.30,0
KX Ori,Orion,05,35,04.79,+04,43,54.6,6.90,0
V372 Ori,Orion,05,34,46.98,+05,34,14.59,8.03,0
Gliese 205,Orion,05,31,27.50,+03,40,38.0,6.97,19
HD 42618,Orion,06,12,01.0,+06,46,59,6.84,77
HD 33636,Orion,05,11,46.45,+04,24,12.7,7.06,92
HD 34445,Orion,05,17,40.98,+07,21,12.0,7.31,152
HD 31253,Orion,04,54,44,+12,21,08,7.13,175.5
HD 38677,Orion,05,47,06.0,+10,37,49,8.0,202
HD 38801,Orion,05,47,59.18,+08,19,39.7,8.26,296
HD 39392,Orion,05,53,19.0,+22,04,20,8.38,307
HD 37824,Orion,05,41,26.79,+03,46,40.9,7.2,446
HD 37151,Orion,05,36,06.23,+07,43,27.3,7.37,627
V1192 Ori,Orion,05,00,08.22,+03,17,12.0,7.50,721
HD 36668,Orion,05,33,26.06,+00,37,16.9,8.06,811
Mintaka C,Orion,05,32,00.50,+00,17,04.0,6.83,916
HD 35155,Orion,05,22,18.64,+08,35,58.0,6.77,939
HD 37903,Orion,05,41,38.39,+02,15,32.5,7.83,970
V901 Ori,Orion,05,40,56.37,+01,30,25.9,6.97,1080
Sigma Ori D,Orion,05,38,45.62,+02,35,58.9,6.62,1148
HD 43317,Orion,06,15,47.01,+04,17,01.1,6.62,1200
HD 37806,Orion,05,41,02.29,+02,43,00.7,7.90,1600
Theta1 Ori A,Orion,05,35,15.82,+05,23,14.3,6.73,1600
Theta1 Ori B,Orion,05,35,16.10,+05,23,07.0,7.96,1600
Theta1 Ori D,Orion,05,35,17.20,+05,23,15.7,6.71,1600
HD 35298,Orion,05,23,50.36,+02,04,55.8,7.89,1730
HD 34137,Orion,05,15,11.87,+01,33,22.14,7.24,2300
S Ori,Orion,05,29,00.89,+04,41,32.8,7.20,3662
RS Ori,Orion,06,22,13.19,+14,40,41.3,8.42,4020
BF Ori,Orion,05,37,13.26,+06,35,00.6,9.69,0
BN Ori,Orion,05,36,29.35,+06,50,02.2,9.60,1014.11
EW Ori,Orion,05,20,09.15,+02,02,40.0,9.9,586.23
EY Ori,Orion,05,31,18.41,+05,42,13.5,9.49,0
FT Ori,Orion,06,13,58.15,+21,25,39.2,9.29,1426.08
FU Ori,Orion,05,45,22.36,+09,04,12.4,9.60,1329.21
FZ Ori,Orion,05,41,21.01,+02,36,23.0,10.70,903.16
HD 250550,Orion,06,01,59.99,+16,30,56.7,9.48,2479.75
HD 37411,Orion,05,38,14.51,+05,25,13.3,9.79,0
V1162 Ori,Orion,05,32,01.99,+07,15,24.6,9.9,0
V1355 Ori,Orion,06,02,40.36,+00,51,37.3,9.19,0
V380 Ori,Orion,05,36,25.43,+06,52,57.7,10.7,0
V586 Ori,Orion,05,36,59.25,+06,09,16.4,9.77,0
Z Ori,Orion,05,55,50.93,+13,41,42.0,9.98,6092.03
V2689 Ori,Orion,05,36,30.99,+11,19,40.32,8.90,37
Gliese 221,Orion,05,53,00.28,+05,59,41.4,9.69,66
V1005 Ori,Orion,04,59,34.83,+01,47,00.7,10.11,84
HD 37605,Orion,05,40,01.73,+06,03,38.1,8.69,140
HD 290327,Orion,05,23,21.56,+02,16,39.4,8.96,179
BD +03 740,Orion,05,01,16.62,+04,06,37.0,9.81,371
V351 Ori,Orion,05,44,18.79,+00,08,40.4,8.87,547
HD 34282,Orion,05,16,00.48,+09,48,35.4,9.84,622
WASP-82,Orion,04,50,39.0,+01,53,38,10.1,652
GW Ori,Orion,05,29,08.39,+11,52,12.7,10.10,896
UX Ori,Orion,05,04,29.99,+03,47,14.3,9.48,913
DN Ori,Orion,06,00,28.35,+10,13,05.0,9.15,942
CO Ori,Orion,05,27,38.34,+11,25,39.0,10.30,1060
Sigma Ori C,Orion,05,38,44.12,+02,36,06.3,8.79,1148
ER Ori,Orion,05,11,14.51,+08,33,24.7,9.46,1340
V346 Ori,Orion,05,24,42.80,+01,43,48.3,10.17,1570
2MASS J05352184-0546085,Orion,05,35,21.84,+05,46,08.6,,0
Becklin–Neugebauer Object,Orion,05,35,14.11,+05,22,22.7,,0
DY Ori,Orion,06,06,14.91,+13,54,19.1,11.29,4220.68
FH Ori,Orion,05,23,18.62,+04,15,38.2,11.37,3517.96
GG Ori,Orion,05,43,10.22,+00,41,14.9,,0
GU Ori,Orion,06,10,04.62,+12,49,46.6,,2114.33
HK Ori,Orion,05,31,28.05,+12,09,10.3,11.20,0
OMC-2 FIR 4,Orion,05,35,26.97,+05,09,54.5,,0
Orion Source I,Orion,05,35,14.51,+05,22,30.4,,0
Reipurth 50,Orion,05,40,27.45,+07,27,30.1,,0
S Ori 70,Orion,05,38,10.10,+02,26,26.0,,0
T Ori,Orion,05,35,50.44,+05,28,34.9,11.25,0
V1159 Ori,Orion,05,28,59.57,+03,33,52.3,,0
GJ 3379,Orion,06,00,03.50,+02,42,23.7,11.31,17
Ross 87,Orion,05,42,09.27,+12,29,21.6,11.51,19
Gliese 179,Orion,04,52,05.73,+06,28,35.5,11.96,40
V371 Ori,Orion,05,33,44.81,+01,56,43.4,11.50,51
LkHAlpha 208,Orion,06,07,49.54,+18,39,26.5,11.30,1000
Theta1 Ori E,Orion,05,35,15.77,+05,23,10.02,11.4,1600
Gamma Per B,Perseus,03,04,44.10,+53,31,10.0,3.00,0
Tau Per B,Perseus,02,54,20.80,+52,45,30.0,4.00,2874.95
Iota Per,Perseus,03,09,02.88,+49,36,48.6,4.05,34
Theta Per,Perseus,02,44,11.69,+49,13,43.2,4.10,37
Algol,Perseus,03,08,10.13,+40,57,20.3,2.09,93
Kappa Per,Perseus,03,09,29.63,+44,51,28.4,3.79,112
16 Per,Perseus,02,50,34.91,+38,19,08.1,4.22,128
Tau Per A,Perseus,02,54,15.46,+52,45,45.0,3.93,248
Gamma Per A,Perseus,03,04,47.79,+53,30,23.2,2.91,256
Omega Per,Perseus,03,11,17.40,+39,36,41.7,4.61,305
HD 26961,Perseus,04,18,14.58,+50,17,44.3,4.60,318
Rho Per,Perseus,03,05,10.50,+38,50,25.9,3.32,325
Lambda Per,Perseus,04,06,35.06,+50,21,04.9,4.25,346
Sigma Per,Perseus,03,30,34.48,+47,59,42.6,4.36,353
17 Per,Perseus,02,51,30.83,+35,03,35.6,4.56,409
Delta Per,Perseus,03,42,55.48,+47,47,15.6,3.01,528
Epsilon Per,Perseus,03,57,51.22,+40,00,37.0,2.90,538
48 Per,Perseus,04,08,39.67,+47,42,45.3,3.96,553
Nu Per,Perseus,03,45,11.64,+42,34,42.8,3.77,556
34 Per,Perseus,03,29,22.03,+49,30,32.5,4.67,558
Alpha Per,Perseus,03,24,19.35,+49,51,40.5,1.79,592
52 Per,Perseus,04,14,53.31,+40,29,01.4,4.67,627
58 Per,Perseus,04,36,41.43,+41,15,53.5,4.25,642
Psi Per,Perseus,03,36,29.36,+48,11,33.7,4.32,700
Phi Per,Perseus,01,43,39.62,+50,41,19.6,4.01,716
Mu Per,Perseus,04,14,53.86,+48,24,33.7,4.12,723
Zeta Per,Perseus,03,54,07.92,+31,53,01.2,2.84,982
Eta Per,Perseus,02,50,41.79,+55,53,43.9,3.77,1331
Omicron Per,Perseus,03,44,19.13,+32,17,17.8,3.84,1475
Xi Per,Perseus,03,58,57.90,+35,47,27.7,3.98,1772
50 Per,Perseus,04,08,36.49,+38,02,24.8,5.52,70
12 Per,Perseus,02,42,14.93,+40,11,39.8,4.91,80
36 Per,Perseus,03,32,26.30,+46,03,25.4,5.30,119
43 Per,Perseus,03,56,36.44,+50,41,44.5,5.28,133
32 Per,Perseus,03,21,26.61,+43,19,46.7,4.96,155
HD 18970,Perseus,03,05,32.43,+56,42,20.0,4.77,204
54 Per,Perseus,04,20,24.66,+34,34,00.3,4.93,226
20 Per,Perseus,02,53,42.58,+38,20,15.6,5.34,235
59 Per,Perseus,04,42,54.30,+43,21,55.0,5.30,271
42 Per,Perseus,03,49,32.70,+33,05,29.0,5.14,297
Pi Per,Perseus,02,58,45.65,+39,39,46.2,4.68,325
24 Per,Perseus,02,59,03.71,+35,10,59.2,4.94,350
21 Per,Perseus,02,57,17.28,+31,56,03.5,5.10,387
53 Per,Perseus,04,21,33.15,+46,29,56.3,4.80,464
31 Per,Perseus,03,19,07.62,+50,05,42.1,5.05,481
2 Per,Perseus,01,52,09.35,+50,47,34.3,5.70,492
1 Aur,Perseus,04,49,54.67,+37,29,17.5,4.89,528
29 Per,Perseus,03,18,37.72,+50,13,20.0,5.16,528
HD 21278,Perseus,03,28,03.05,+49,03,46.6,4.99,570
V396 Per,Perseus,03,32,08.58,+48,01,24.7,5.47,585
V575 Per,Perseus,03,23,13.18,+49,12,48.0,5.32,625
30 Per,Perseus,03,17,47.33,+44,01,30.3,5.49,644
14 Per,Perseus,02,44,05.16,+44,17,49.4,5.43,692
4 Per,Perseus,02,02,18.07,+54,29,15.2,4.99,739
40 Per,Perseus,03,42,22.64,+33,57,54.1,4.97,924
1 Per,Perseus,01,51,59.31,+55,08,50.7,5.53,1028
HD 27192,Perseus,04,20,11.51,+50,55,15.4,5.55,1190
HD 20468,Perseus,03,18,43.82,+34,13,21.6,4.85,1475
V472 Per,Perseus,02,08,40.58,+58,25,25.0,5.66,1821
9 Per,Perseus,02,22,21.43,+55,50,44.4,5.16,2050
HD 17092,Perseus,02,46,22.12,+49,39,11.1,7.73,728.81
V480 Per,Perseus,02,49,30.74,+57,05,03.6,6.25,7532.22
V520 Per,Perseus,02,19,04.45,+57,08,07.8,6.55,7501.23
HD 22781,Perseus,03,40,59,+31,49,35,8.78,104
56 Per,Perseus,04,24,37.42,+33,57,35.6,5.77,136
49 Per,Perseus,04,08,15.46,+37,43,40.7,6.07,144
HD 16760,Perseus,02,42,21,+38,37,07,8.74,163
HD 23596,Perseus,03,48,00.37,+40,31,50.3,7.24,169
IW Per,Perseus,03,33,35.02,+39,53,58.5,5.79,178
V423 Per,Perseus,03,16,01.86,+34,41,18.6,6.23,201
57 Per,Perseus,04,33,24.90,+43,03,50.0,6.09,211
V376 Per,Perseus,03,49,08.12,+43,57,46.9,5.95,226
3 Per,Perseus,01,58,33.50,+49,12,15.3,5.70,246
V521 Per,Perseus,03,07,47.34,+47,18,31.3,6.38,246
V509 Per,Perseus,03,03,56.75,+47,50,54.6,6.48,363
8 Per,Perseus,02,17,59.82,+57,53,59.3,5.75,379
V545 Per,Perseus,04,18,08.09,+42,08,28.5,6.22,389
V572 Per,Perseus,03,15,48.65,+50,57,21.5,6.46,413
11 Per,Perseus,02,43,02.80,+55,06,21.9,5.76,420
V573 Per,Perseus,03,16,35.19,+32,11,03.2,5.98,551
V576 Per,Perseus,03,25,57.36,+49,07,15.0,6.09,603
55 Per,Perseus,04,24,29.14,+34,07,51.0,5.73,610
7 Per,Perseus,02,18,04.60,+57,30,58.8,5.99,710
HAT-P-29,Perseus,02,12,31,+51,46,44,11.9,1050
KP Per,Perseus,03,32,38.98,+44,51,20.8,6.42,1560
V440 Per,Perseus,02,23,51.75,+55,21,53.5,6.29,2012
5 Per,Perseus,02,11,29.19,+57,38,44.0,6.38,2547
X Per,Perseus,03,55,23.08,+31,02,45.1,6.79,2694
KS Per,Perseus,04,48,53.35,+43,16,32.1,7.70,2938
10 Per,Perseus,02,25,16.03,+56,36,35.4,6.25,3543
Fomalhaut,Piscis Austrinus,22,57,38.83,+29,37,18.6,1.17,25
Tau PsA,Piscis Austrinus,22,10,08.48,+32,32,54.4,4.94,61
Pi PsA,Piscis Austrinus,23,03,29.76,+34,44,58.6,5.12,93
Mu PsA,Piscis Austrinus,22,08,22.95,+32,59,18.2,4.50,130
HD 213135,Piscis Austrinus,22,29,45.94,+27,06,26.0,5.95,137
Beta PsA,Piscis Austrinus,22,31,30.29,+32,20,45.7,4.29,148
Delta PsA,Piscis Austrinus,22,55,56.89,+32,32,22.9,4.20,170
8 PsA,Piscis Austrinus,21,36,10.90,+26,10,17.2,5.73,176
Iota PsA,Piscis Austrinus,21,44,56.79,+33,01,32.0,4.35,205
HD 210271,Piscis Austrinus,22,09,55.71,+34,00,54.1,5.37,212
HD 210848,Piscis Austrinus,22,13,44.39,+25,10,51.3,5.58,221
Gamma PsA,Piscis Austrinus,22,52,31.56,+32,52,31.6,4.46,222
7 PsA,Piscis Austrinus,21,36,48.75,+33,02,52.4,6.10,237
HD 214122,Piscis Austrinus,22,36,35.47,+31,39,49.3,5.82,312
Theta PsA,Piscis Austrinus,21,47,44.17,+30,53,53.9,5.02,339
WX PsA,Piscis Austrinus,22,59,35.76,+29,27,44.4,5.51,366
21 PsA,Piscis Austrinus,22,51,20.94,+29,32,10.6,5.99,370
6 PsA,Piscis Austrinus,21,32,14.58,+33,56,40.6,5.97,412
VZ PsA,Piscis Austrinus,22,38,51.46,+33,04,53.0,5.66,435
Lambda PsA,Piscis Austrinus,22,14,18.74,+27,46,00.9,5.45,508
Upsilon PsA,Piscis Austrinus,22,08,25.93,+34,02,37.4,4.99,528
HD 211291,Piscis Austrinus,22,16,37.44,+25,53,53.3,6.14,568
HD 217484,Piscis Austrinus,23,01,19.35,+28,51,14.1,5.55,584
19 PsA,Piscis Austrinus,22,42,22.08,+29,21,39.6,6.12,607
HD 214690,Piscis Austrinus,22,40,22.38,+30,39,30.1,5.88,642
HD 217303,Piscis Austrinus,23,00,05.77,+25,09,50.4,5.66,706
Epsilon PsA,Piscis Austrinus,22,40,39.33,+27,02,37.0,4.18,744
HD 216761,Piscis Austrinus,22,55,51.54,+31,37,59.5,6.09,948
Eta PsA,Piscis Austrinus,22,00,50.22,+28,27,13.5,5.43,1012
